,World,Spain,France,Italy,Greece,Malta,Cyprus,Slovenia,Croatia,Bosnia Herzegovina,Montenegro,Albania,Romania,Ukraine,Russia,Turkey,Israel,Lebanon,Egypt,Libya,Tunisia,Algeria,Morocco
World,33364886959.003998,7964183320.0199995,1251225735.9370003,6283353959.641,642996742.368,78858509.65599999,273141453.13600004,65273445.764000006,207726722.32299998,38921113.986,5466229.352,79444971.037,337529452.63199997,282281586.175,130915797.47500001,2097772952.2340002,618347260.019,739648468.5419999,3175017491.289,903615435.252,1428402003.966,3867016607.6359997,2893747700.564
Spain,1859404779.2640002,0.0,640954948.052,666744914.328,13189953.452000003,354465.932,600745.8999999999,141214.488,259927.74399999998,0.0,0.0,14834799.903999997,7687778.279999999,961585.264,5498616.092,29151792.3,14422127.704,5260348.424000001,22503705.368,1271436.864,334475118.0,5138296.136,95953005.032
France,8663055977.762001,3126163512.492,0.0,1353078682.559,92812370.99000001,2773379.122,5310310.069,7242376.506,22054432.72,858860.236,0.0,1494533.62,215050934.64,49803541.8,59392410.90800001,86331345.224,1153631.4,807014.2119999999,225191648.928,0.0,32689539.44,1252061374.12,2128786078.776
Italy,430170461.6280001,49203621.606,217817854.113,0.0,29397415.41,4477447.53,1114872.439,13094983.002,12602722.863,3390659.942,1050365.226,7746953.055,17624502.774,1045636.891,1756432.891,23569885.508,1743281.969,4501400.61,1247349.313,2880412.48,30760167.046,44387.34,5100109.62
Greece,581822117.0600001,15308052.726,472991.602,413224343.232,0.0,1725240.852,16988431.072,0.0,170492.24,260732.464,182489.346,3839084.43,8765277.158,337014.31,0.0,29367003.766,967041.998,434012.91599999997,0.0,22172340.752,61898416.08,0.0,5709152.116
Malta,25.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.976,0.0,0.0,0.0
Cyprus,1582223.76,0.0,0.0,0.0,733256.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48430.032,0.0,0.0,0.0,800537.248,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,593024196.1479999,702.016,115.664,473525930.104,0.0,1244.36,18626616.816,0.0,33518111.743999995,12190165.424,923833.448,0.0,716352.868,0.0,94185.584,0.0,0.0,0.0,0.0,0.0,53426938.12,0.0,0.0
Croatia,345071459.0,4770638.0,1074990.0,277622895.0,11298.0,7230224.0,0.0,37674172.0,0.0,13361614.0,198418.0,412388.0,1652759.0,1064.0,0.0,346956.0,0.0,0.0,0.0,0.0,689674.0,7012.0,17357.0
Bosnia Herzegovina,25812748.908,0.0,187960.296,126907.568,0.0,0.0,0.0,292080.428,20547416.892,0.0,182313.368,0.0,0.0,0.0,0.0,4476070.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro,2632646.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246081.88,0.0,2386564.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,808866.08,0.0,0.0,23565.08,731655.536,0.0,0.0,0.0,0.0,0.0,53645.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,5720325059.64,921462469.5999999,297629690.36,938284013.3599999,263460503.04,9792092.200000001,18287191.16,4487690.319999999,71638625.28,6799884.04,0.0,102143.08000000002,0.0,25425699.919999998,0.0,427204826.6000001,64573258.56,216357887.24,942758937.84,141285880.95999998,103001603.68,827763133.44,440009528.9599999
Ukraine,11571438469.359999,3834570987.58,52186865.44,1255154516.46,231475019.46,51175239.66,178110793.68,157377.02,7501798.84,0.0,628.5,10976290.82,71617531.88,0.0,0.0,1491944495.88,500029133.44,416434073.74,1809139755.84,386813765.22,586521581.6,567254429.06,120374185.24
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,3528709824.0,12694136.0,40819768.0,905001560.0,11184376.0,1329176.0,34043128.0,1705552.0,39393144.0,1812960.0,2874536.0,37039624.0,14102136.0,202621240.0,64174152.0,0.0,34483488.0,88993960.0,171163672.0,348129592.0,224722216.0,1212642872.0,79778536.0
Israel,493000.0,0.0,9000.0,0.0,0.0,0.0,5000.0,478000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,6364591.0,0.0,18181.0,0.0,894.0,0.0,54364.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,3275335.0,0.0,0.0,3012422.0,2039.0,0.0,1200.0,0.0
Egypt,34170513.41,9200.0,53371.41,566631.95,0.0,0.0,0.0,0.0,40050.0,0.0,0.0,612590.0,262750.0,2085803.99,0.0,2105241.6,174759.7,6859771.4,0.0,1059942.0,216750.0,2103903.54,18019747.82
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
