,World,Spain,France,Italy,Greece,Malta,Cyprus,Slovenia,Croatia,Bosnia Herzegovina,Montenegro,Albania,Romania,Ukraine,Russia,Turkey,Israel,Lebanon,Egypt,Libya,Tunisia,Algeria,Morocco
World,105256039632.98203,13176215124.446001,13518742701.088003,27953321174.337,5549698314.373,111788176.878,1295451878.878,1475027775.586,1516416048.1569998,1300363400.45,193577671.19599995,1834905125.55,9427640145.802,4203966819.167,1005774401.018,7974378518.094002,1521372884.698,631547665.4690001,4029661529.913,801719266.767,1019489314.526,1717876374.144,4997105322.445001
Spain,26213064095.932,0.0,11143943042.892002,8303858266.436,673258140.0799999,9472097.896000002,79324426.96399999,49581767.044,39735259.548,15791109.576,5074.144,2809534.616,551763310.1039999,283037.824,279369.256,2137345322.176,498472114.51600003,13380914.167999998,140096040.62199998,94764535.888,159039209.91799992,40625036.2,2259236486.064
France,20093413954.010002,8061803252.444,0.0,7264583432.018001,581298353.1559999,2173129.8860000004,128941.82,147206093.49000004,8781828.917,15127500.844,25544.18,23440.032,530396853.27900004,13705097.056,76849.012,2599443107.324,67014845.832,10821492.636,249505546.528,0.0,71125254.90200001,68978478.814,401194911.84
Italy,5153593787.826001,818616270.813,1376362857.512,0.0,186721665.301,44987539.732,90518521.045,536639000.923,378599279.148,136002114.66,5587768.56,20728634.636,790777961.677,47402763.491,270841.898,433037519.958,28760852.308,5010428.987,80270311.221,3324238.258,47924426.495,81039902.128,41010889.075
Greece,604652932.63,15475897.464,3244251.425,33609086.584,0.0,33677434.58,108295682.76000002,656119.552,727615.11,645206.992,132175.972,63680222.134,144847233.612,1339396.03,0.0,87718348.67699999,99720177.204,1546485.718,5731914.578,45851.802,1483657.862,1680051.468,396123.106
Malta,77317185.508,0.0,21.648,1203455.54,2545525.048,0.0,17472027.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56088591.756,0.0,0.0,0.0,7563.676,0.0,0.0,0.0
Cyprus,218407725.488,0.0,0.0,1053649.752,217354075.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,5489066321.64,242704685.28399998,431088812.12,3188866969.288,12462070.048,19949.832,264.576,0.0,638416285.332,456366006.408,582576.448,1182194.728,149513652.032,42102004.036,8074.328,275725371.008,10870841.108,0.0,15912920.064,36001.736,1185821.1439999999,14702289.464,7319532.656
Croatia,343844157.0,298107.0,730913.0,148886872.0,26304.0,3115.0,454.0,64511573.0,0.0,23904871.0,457828.0,132999.0,12457056.0,146577.0,0.0,92243078.0,26139.0,0.0,18271.0,0.0,0.0,0.0,0.0
Bosnia Herzegovina,509627022.82699996,0.0,494027.512,29090560.634999998,254124.292,98350.672,0.0,87896386.216,224998226.754,0.0,110119876.588,1316844.1,27795071.294,0.0,705.344,27527422.52,0.0,0.0,0.0,35426.9,0.0,0.0,0.0
Montenegro,8903803.388,0.0,0.0,869919.944,0.0,0.0,0.0,97092.04,6440.728,436074.332,0.0,6932759.384,0.0,0.0,0.0,561516.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,642634947.9599999,19247852.248,5297584.588,231711521.686,118108355.92,0.0,0.0,74634174.72,45193022.0,20595433.038,38814258.984,0.0,13582989.423999999,0.0,0.0,75097848.39199999,351906.95999999996,0.0,0.0,0.0,0.0,0.0,0.0
Romania,2849323448.560001,101268495.84,100031491.56,686596169.1200001,140927213.43999997,1342.6,56421.23999999999,60438759.40000002,28110452.08,20382994.400000002,2466226.64,111634.4,0.0,113704930.88000003,5386039.84,1508512376.0000005,6211073.5600000005,0.0,73450784.84,0.0,100687.64000000001,941670.9199999999,624684.1599999999
Ukraine,2001290575.62,48227865.26,12296902.36,438323690.4,185766653.44,72.68,815.86,54077401.62,1046887.08,4476089.2,10085.48,12014745.82,348715676.06,0.0,42086326.34,359350067.54,68078670.94,21004132.76,356127302.06,0.0,0.0,1.96,49687188.76
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,39628625672.0,3643215384.0,436328576.0,7432490920.0,3365526544.0,21355144.0,901596752.0,396775624.0,150758400.0,606636000.0,35365152.0,1699003224.0,6715056464.0,3978918344.0,957571936.0,0.0,741560880.0,517982984.0,3019218328.0,655611408.0,727600976.0,1438188200.0,2187864432.0
Israel,94776000.0,109000.0,5810000.0,1794000.0,38014000.0,0.0,166000.0,231000.0,0.0,0.0,0.0,11108000.0,1117000.0,0.0,94000.0,36333000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,110599082.0,0.0,0.0,0.0,0.0,0.0,1044762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,20223950.0,0.0,0.0,89330111.0,0.0,0.0,0.0,0.0
Egypt,1216898920.593,225248314.093,3114220.471,190382660.934,27435289.912,0.0,96846808.773,2282783.581,42351.46,0.0,11104.2,15860892.7,141616878.32,6364668.85,0.0,265170997.783,305383.27,61801227.2,0.0,47894240.507,11029280.565,71720743.19,49771074.784
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
